"Elektriciteitsbalans; aanbod en verbruik"
""
"";"";"Perioden"
"Onderwerp";"";"2021 januari";"2021 februari";"2021 maart";"2021 april";"2021 mei";"2021 juni";"2021 juli";"2021 augustus";"2021 september";"2021 oktober";"2021 november";"2021 december";"2022 januari**";"2022 februari**";"2022 maart**";"2022 april**";"2022 mei**";"2022 juni**";"2022 juli**";"2022 augustus**";"2022 september**";"2022 oktober**";"2022 november**";"2022 december**";"2023 januari**";"2023 februari**";"2023 maart**";"2023 april**";"2023 mei**";"2023 juni**";"2023 juli**";"2023 augustus**";"2023 september**";"2023 oktober**";"2023 november**";"2023 december**"
"Bruto productie";"mln kWh";"11647";"10907";"11626";"9784";"9241";"8847";"9921";"8839";"9065";"9799";"10876";"11415";"11155";"9696";"10951";"9366";"9419";"10600";"10367";"10408";"9721";"9764";"9290";"11072";"10421";"10027";"10885";"9784";"9909";"10306";"10040";"10210";"9652";"9754";"9770";"10655"
"Eigen verbruik bij elektr.productie";"mln kWh";"345";"296";"322";"288";"274";"216";"331";"326";"315";"356";"367";"370";"369";"310";"353";"266";"266";"321";"323";"320";"329";"293";"302";"347";"319";"315";"292";"271";"245";"197";"208";"264";"276";"302";"254";"258"
"Netto productie|Netto productie, totaal";"mln kWh";"11303";"10610";"11303";"9496";"8967";"8631";"9589";"8513";"8750";"9443";"10508";"11045";"10785";"9386";"10599";"9100";"9154";"10280";"10044";"10088";"9392";"9471";"8987";"10725";"10102";"9712";"10593";"9513";"9664";"10109";"9832";"9947";"9376";"9452";"9517";"10396"
"Netto productie|Kernenergie";"mln kWh";"358";"321";"360";"333";"210";"";"329";"350";"339";"314";"346";"358";"361";"326";"351";"103";"356";"341";"347";"345";"338";"355";"346";"361";"361";"326";"346";"";"347";"341";"350";"350";"338";"355";"348";"303"
"Netto productie|Brandstoffen|Brandstoffen, totaal";"mln kWh";"8897";"7948";"8412";"6410";"5918";"6143";"6600";"5324";"6317";"6230";"8223";"8336";"7838";"5332";"7278";"5222";"5094";"6323";"6096";"6443";"6141";"6024";"5415";"7789";"6199";"6592";"6190";"5422";"4669";"4650";"4281";"5508";"5480";"4928";"5061";"5727"
"Netto productie|Brandstoffen|Kolen";"mln kWh";"1596";"1037";"1212";"799";"714";"653";"1491";"1546";"1439";"1982";"1836";"2192";"1704";"928";"1533";"1122";"594";"1320";"1556";"1597";"1928";"1265";"1236";"1700";"1438";"1484";"1345";"1063";"511";"192";"272";"384";"467";"944";"1051";"997"
"Netto productie|Brandstoffen|Olieproducten";"mln kWh";"110";"102";"99";"130";"104";"85";"98";"115";"118";"127";"120";"99";"92";"129";"141";"116";"129";"154";"157";"147";"133";"106";"106";"144";"130";"123";"95";"157";"132";"96";"126";"151";"132";"120";"119";"109"
"Netto productie|Brandstoffen|Aardgas";"mln kWh";"6113";"5882";"6091";"4557";"4234";"4810";"4015";"2510";"3815";"3178";"5258";"5056";"5042";"3463";"4576";"3394";"3730";"3858";"3363";"3719";"3218";"4038";"3199";"5079";"3783";"4143";"4020";"3370";"3341";"4021";"3438";"4340";"4151";"3150";"3194";"3924"
"Netto productie|Brandstoffen|Biomassa";"mln kWh";"936";"819";"875";"789";"725";"468";"843";"996";"817";"825";"884";"842";"864";"687";"888";"463";"511";"855";"881";"831";"734";"488";"755";"745";"725";"723";"603";"709";"586";"246";"339";"506";"591";"570";"592";"586"
"Netto productie|Brandstoffen|Overige brandstoffen (niet-hernieuwbaar)";"mln kWh";"142";"109";"135";"135";"142";"127";"153";"156";"129";"119";"125";"146";"135";"124";"140";"128";"130";"135";"140";"149";"128";"127";"119";"121";"123";"119";"128";"123";"100";"95";"106";"127";"139";"143";"105";"110"
"Netto productie|Waterkracht";"mln kWh";"7";"4";"12";"8";"9";"10";"9";"12";"4";"4";"3";"5";"9";"10";"11";"10";"3";"2";"1";"0";"1";"1";"1";"2";"12";"10";"12";"11";"10";"2";"2";"4";"1";"1";"3";"1"
"Netto productie|Windenergie|Windenergie, totaal";"mln kWh";"1811";"1854";"1642";"1371";"1305";"654";"1033";"1393";"924";"2208";"1600";"2125";"2290";"3128";"1411";"1917";"1305";"1048";"1032";"877";"1351";"2065";"2700";"2277";"3152";"2055";"2765";"1934";"1562";"1536";"2364";"1567";"1468";"3111";"3584";"4064"
"Netto productie|Windenergie|Windenergie op land";"mln kWh";"943";"942";"911";"743";"786";"341";"586";"764";"524";"1288";"867";"1273";"1453";"2045";"869";"1239";"834";"647";"629";"518";"768";"1294";"1710";"1381";"2046";"1331";"1691";"1279";"913";"865";"1414";"888";"850";"1787";"2107";"2445"
"Netto productie|Windenergie|Windenergie op zee";"mln kWh";"868";"913";"731";"628";"519";"313";"447";"629";"399";"920";"733";"852";"836";"1083";"541";"678";"471";"402";"403";"360";"583";"771";"991";"896";"1106";"724";"1074";"656";"650";"671";"950";"680";"618";"1325";"1477";"1620"
"Netto productie|Zonnestroom";"mln kWh";"196";"444";"835";"1332";"1484";"1801";"1577";"1390";"1129";"642";"293";"181";"238";"547";"1502";"1802";"2345";"2531";"2520";"2373";"1515";"977";"478";"250";"329";"685";"1234";"2102";"3032";"3560";"2792";"2471";"2045";"1009";"477";"255"
"Netto productie|Overige bronnen";"mln kWh";"34";"38";"42";"42";"41";"24";"41";"44";"37";"45";"43";"40";"49";"44";"46";"47";"51";"35";"47";"50";"46";"50";"47";"46";"42";"37";"39";"36";"36";"12";"36";"40";"38";"40";"38";"39"
"Invoer|Invoer, totaal";"mln kWh";"1542";"1378";"1269";"1384";"1868";"1985";"1770";"2174";"2165";"1938";"1647";"1764";"1913";"1927";"1501";"1712";"1683";"995";"1179";"1029";"1207";"1736";"2150";"1513";"2129";"1384";"1520";"1480";"1623";"1337";"1704";"1366";"1416";"1890";"1887";"1811"
"Invoer|België";"mln kWh";"184";"460";"393";"253";"833";"690";"688";"711";"237";"267";"172";"330";"186";"216";"197";"389";"564";"305";"301";"461";"510";"714";"628";"402";"433";"134";"240";"317";"455";"402";"600";"449";"304";"329";"306";"425"
"Invoer|Denemarken";"mln kWh";"153";"180";"242";"279";"252";"239";"96";"212";"375";"358";"336";"283";"394";"400";"244";"266";"252";"159";"265";"118";"141";"202";"136";"160";"297";"287";"179";"236";"210";"120";"233";"146";"199";"304";"150";"191"
"Invoer|Duitsland";"mln kWh";"1075";"730";"605";"473";"414";"582";"584";"987";"1321";"841";"653";"822";"920";"983";"722";"728";"487";"268";"393";"261";"293";"494";"714";"745";"1100";"599";"843";"669";"595";"389";"378";"251";"366";"812";"1155";"958"
"Invoer|Verenigd Koninkrijk";"mln kWh";"0";"7";"0";"0";"0";"7";"0";"9";"5";"18";"17";"14";"45";"12";"14";"151";"361";"262";"220";"189";"260";"285";"279";"43";"45";"3";"12";"17";"76";"164";"222";"277";"331";"180";"107";"128"
"Invoer|Noorwegen";"mln kWh";"130";"0";"30";"380";"370";"468";"402";"255";"228";"454";"470";"316";"368";"315";"323";"178";"19";"0";"0";"0";"3";"42";"393";"163";"255";"362";"246";"242";"286";"262";"271";"242";"217";"265";"168";"108"
"Uitvoer|Uitvoer, totaal";"mln kWh";"1667";"1977";"2199";"1711";"1492";"1181";"1707";"1351";"1477";"1569";"2013";"2289";"2104";"1793";"2522";"1676";"1439";"2011";"1679";"1725";"1686";"2162";"1868";"2145";"2082";"2122";"2401";"2334";"2376";"2214";"2334";"2383";"1761";"1837";"1501";"1862"
"Uitvoer|België";"mln kWh";"1146";"600";"595";"666";"435";"202";"235";"353";"660";"638";"879";"909";"1102";"823";"1390";"792";"414";"647";"537";"314";"347";"493";"653";"997";"768";"924";"937";"1038";"727";"419";"562";"418";"605";"700";"634";"674"
"Uitvoer|Denemarken";"mln kWh";"97";"152";"104";"73";"73";"97";"46";"66";"28";"11";"46";"80";"30";"8";"116";"82";"105";"176";"106";"186";"204";"193";"6";"73";"100";"86";"163";"107";"187";"233";"136";"223";"143";"76";"104";"187"
"Uitvoer|Duitsland";"mln kWh";"368";"845";"1296";"924";"913";"495";"767";"284";"248";"375";"527";"600";"416";"406";"377";"428";"783";"1006";"751";"977";"972";"1274";"1019";"502";"609";"560";"588";"637";"1078";"1226";"1300";"1487";"882";"765";"332";"568"
"Uitvoer|Verenigd Koninkrijk";"mln kWh";"0";"380";"204";"0";"0";"377";"630";"601";"536";"528";"555";"621";"502";"523";"607";"311";"128";"183";"285";"248";"163";"115";"178";"444";"534";"545";"633";"479";"324";"286";"283";"231";"124";"278";"389";"249"
"Uitvoer|Noorwegen";"mln kWh";"56";"0";"0";"47";"71";"10";"28";"47";"5";"17";"6";"78";"54";"33";"33";"62";"10";"0";"0";"0";"0";"87";"11";"129";"72";"6";"80";"73";"60";"50";"53";"25";"7";"19";"42";"184"
"Distributieverliezen";"mln kWh";"447";"401";"412";"378";"379";"371";"389";"368";"378";"411";"422";"440";"454";"407";"418";"384";"385";"377";"395";"373";"384";"417";"428";"447";"454";"407";"418";"384";"385";"377";"395";"373";"384";"417";"428";"447"
"Netto verbruik (berekend)";"mln kWh";"10731";"9611";"9961";"8791";"8963";"9064";"9264";"8969";"9061";"9401";"9721";"10080";"10141";"9113";"9159";"8753";"9013";"8886";"9149";"9019";"8528";"8627";"8841";"9646";"9696";"8567";"9294";"8276";"8525";"8854";"8808";"8556";"8648";"9088";"9474";"9898"
"Bron: CBS"
