Date,Bruto productie (mln kWh),Distributieverliezen (mln kWh),Eigen verbruik bij elektr.productie (mln kWh),Invoer|België (mln kWh),Invoer|Denemarken (mln kWh),Invoer|Duitsland (mln kWh),"Invoer|Invoer, totaal (mln kWh)",Invoer|Noorwegen (mln kWh),Invoer|Verenigd Koninkrijk (mln kWh),Netto productie|Brandstoffen|Aardgas (mln kWh),Netto productie|Brandstoffen|Biomassa (mln kWh),"Netto productie|Brandstoffen|Brandstoffen, totaal (mln kWh)",Netto productie|Brandstoffen|Kolen (mln kWh),Netto productie|Brandstoffen|Olieproducten (mln kWh),Netto productie|Brandstoffen|Overige brandstoffen (niet-hernieuwbaar) (mln kWh),Netto productie|Kernenergie (mln kWh),"Netto productie|Netto productie, totaal (mln kWh)",Netto productie|Overige bronnen (mln kWh),Netto productie|Waterkracht (mln kWh),Netto productie|Windenergie|Windenergie op land (mln kWh),Netto productie|Windenergie|Windenergie op zee (mln kWh),"Netto productie|Windenergie|Windenergie, totaal (mln kWh)",Netto productie|Zonnestroom (mln kWh),Netto verbruik (berekend) (mln kWh),Uitvoer|België (mln kWh),Uitvoer|Denemarken (mln kWh),Uitvoer|Duitsland (mln kWh),Uitvoer|Noorwegen (mln kWh),"Uitvoer|Uitvoer, totaal (mln kWh)",Uitvoer|Verenigd Koninkrijk (mln kWh)
2021-01-01,11647.0,447.0,345.0,184.0,153.0,1075.0,1542.0,130.0,0.0,6113.0,936.0,8897.0,1596.0,110.0,142.0,358.0,11303.0,34.0,7.0,943.0,868.0,1811.0,196.0,10731.0,1146.0,97.0,368.0,56.0,1667.0,0.0
2021-02-01,10907.0,401.0,296.0,460.0,180.0,730.0,1378.0,0.0,7.0,5882.0,819.0,7948.0,1037.0,102.0,109.0,321.0,10610.0,38.0,4.0,942.0,913.0,1854.0,444.0,9611.0,600.0,152.0,845.0,0.0,1977.0,380.0
2021-03-01,11626.0,412.0,322.0,393.0,242.0,605.0,1269.0,30.0,0.0,6091.0,875.0,8412.0,1212.0,99.0,135.0,360.0,11303.0,42.0,12.0,911.0,731.0,1642.0,835.0,9961.0,595.0,104.0,1296.0,0.0,2199.0,204.0
2021-04-01,9784.0,378.0,288.0,253.0,279.0,473.0,1384.0,380.0,0.0,4557.0,789.0,6410.0,799.0,130.0,135.0,333.0,9496.0,42.0,8.0,743.0,628.0,1371.0,1332.0,8791.0,666.0,73.0,924.0,47.0,1711.0,0.0
2021-05-01,9241.0,379.0,274.0,833.0,252.0,414.0,1868.0,370.0,0.0,4234.0,725.0,5918.0,714.0,104.0,142.0,210.0,8967.0,41.0,9.0,786.0,519.0,1305.0,1484.0,8963.0,435.0,73.0,913.0,71.0,1492.0,0.0
2021-06-01,8847.0,371.0,216.0,690.0,239.0,582.0,1985.0,468.0,7.0,4810.0,468.0,6143.0,653.0,85.0,127.0,,8631.0,24.0,10.0,341.0,313.0,654.0,1801.0,9064.0,202.0,97.0,495.0,10.0,1181.0,377.0
2021-07-01,9921.0,389.0,331.0,688.0,96.0,584.0,1770.0,402.0,0.0,4015.0,843.0,6600.0,1491.0,98.0,153.0,329.0,9589.0,41.0,9.0,586.0,447.0,1033.0,1577.0,9264.0,235.0,46.0,767.0,28.0,1707.0,630.0
2021-08-01,8839.0,368.0,326.0,711.0,212.0,987.0,2174.0,255.0,9.0,2510.0,996.0,5324.0,1546.0,115.0,156.0,350.0,8513.0,44.0,12.0,764.0,629.0,1393.0,1390.0,8969.0,353.0,66.0,284.0,47.0,1351.0,601.0
2021-09-01,9065.0,378.0,315.0,237.0,375.0,1321.0,2165.0,228.0,5.0,3815.0,817.0,6317.0,1439.0,118.0,129.0,339.0,8750.0,37.0,4.0,524.0,399.0,924.0,1129.0,9061.0,660.0,28.0,248.0,5.0,1477.0,536.0
2021-10-01,9799.0,411.0,356.0,267.0,358.0,841.0,1938.0,454.0,18.0,3178.0,825.0,6230.0,1982.0,127.0,119.0,314.0,9443.0,45.0,4.0,1288.0,920.0,2208.0,642.0,9401.0,638.0,11.0,375.0,17.0,1569.0,528.0
2021-11-01,10876.0,422.0,367.0,172.0,336.0,653.0,1647.0,470.0,17.0,5258.0,884.0,8223.0,1836.0,120.0,125.0,346.0,10508.0,43.0,3.0,867.0,733.0,1600.0,293.0,9721.0,879.0,46.0,527.0,6.0,2013.0,555.0
2021-12-01,11415.0,440.0,370.0,330.0,283.0,822.0,1764.0,316.0,14.0,5056.0,842.0,8336.0,2192.0,99.0,146.0,358.0,11045.0,40.0,5.0,1273.0,852.0,2125.0,181.0,10080.0,909.0,80.0,600.0,78.0,2289.0,621.0
2022-01-01,11155.0,454.0,369.0,186.0,394.0,920.0,1913.0,368.0,45.0,5042.0,864.0,7838.0,1704.0,92.0,135.0,361.0,10785.0,49.0,9.0,1453.0,836.0,2290.0,238.0,10141.0,1102.0,30.0,416.0,54.0,2104.0,502.0
2022-02-01,9696.0,407.0,310.0,216.0,400.0,983.0,1927.0,315.0,12.0,3463.0,687.0,5332.0,928.0,129.0,124.0,326.0,9386.0,44.0,10.0,2045.0,1083.0,3128.0,547.0,9113.0,823.0,8.0,406.0,33.0,1793.0,523.0
2022-03-01,10951.0,418.0,353.0,197.0,244.0,722.0,1501.0,323.0,14.0,4576.0,888.0,7278.0,1533.0,141.0,140.0,351.0,10599.0,46.0,11.0,869.0,541.0,1411.0,1502.0,9159.0,1390.0,116.0,377.0,33.0,2522.0,607.0
2022-04-01,9366.0,384.0,266.0,389.0,266.0,728.0,1712.0,178.0,151.0,3394.0,463.0,5222.0,1122.0,116.0,128.0,103.0,9100.0,47.0,10.0,1239.0,678.0,1917.0,1802.0,8753.0,792.0,82.0,428.0,62.0,1676.0,311.0
2022-05-01,9419.0,385.0,266.0,564.0,252.0,487.0,1683.0,19.0,361.0,3730.0,511.0,5094.0,594.0,129.0,130.0,356.0,9154.0,51.0,3.0,834.0,471.0,1305.0,2345.0,9013.0,414.0,105.0,783.0,10.0,1439.0,128.0
2022-06-01,10600.0,377.0,321.0,305.0,159.0,268.0,995.0,0.0,262.0,3858.0,855.0,6323.0,1320.0,154.0,135.0,341.0,10280.0,35.0,2.0,647.0,402.0,1048.0,2531.0,8886.0,647.0,176.0,1006.0,0.0,2011.0,183.0
2022-07-01,10367.0,395.0,323.0,301.0,265.0,393.0,1179.0,0.0,220.0,3363.0,881.0,6096.0,1556.0,157.0,140.0,347.0,10044.0,47.0,1.0,629.0,403.0,1032.0,2520.0,9149.0,537.0,106.0,751.0,0.0,1679.0,285.0
2022-08-01,10408.0,373.0,320.0,461.0,118.0,261.0,1029.0,0.0,189.0,3719.0,831.0,6443.0,1597.0,147.0,149.0,345.0,10088.0,50.0,0.0,518.0,360.0,877.0,2373.0,9019.0,314.0,186.0,977.0,0.0,1725.0,248.0
2022-09-01,9721.0,384.0,329.0,510.0,141.0,293.0,1207.0,3.0,260.0,3218.0,734.0,6141.0,1928.0,133.0,128.0,338.0,9392.0,46.0,1.0,768.0,583.0,1351.0,1515.0,8528.0,347.0,204.0,972.0,0.0,1686.0,163.0
2022-10-01,9764.0,417.0,293.0,714.0,202.0,494.0,1736.0,42.0,285.0,4038.0,488.0,6024.0,1265.0,106.0,127.0,355.0,9471.0,50.0,1.0,1294.0,771.0,2065.0,977.0,8627.0,493.0,193.0,1274.0,87.0,2162.0,115.0
2022-11-01,9290.0,428.0,302.0,628.0,136.0,714.0,2150.0,393.0,279.0,3199.0,755.0,5415.0,1236.0,106.0,119.0,346.0,8987.0,47.0,1.0,1710.0,991.0,2700.0,478.0,8841.0,653.0,6.0,1019.0,11.0,1868.0,178.0
2022-12-01,11072.0,447.0,347.0,402.0,160.0,745.0,1513.0,163.0,43.0,5079.0,745.0,7789.0,1700.0,144.0,121.0,361.0,10725.0,46.0,2.0,1381.0,896.0,2277.0,250.0,9646.0,997.0,73.0,502.0,129.0,2145.0,444.0
2023-01-01,10421.0,454.0,319.0,433.0,297.0,1100.0,2129.0,255.0,45.0,3783.0,725.0,6199.0,1438.0,130.0,123.0,361.0,10102.0,42.0,12.0,2046.0,1106.0,3152.0,329.0,9696.0,768.0,100.0,609.0,72.0,2082.0,534.0
2023-02-01,10027.0,407.0,315.0,134.0,287.0,599.0,1384.0,362.0,3.0,4143.0,723.0,6592.0,1484.0,123.0,119.0,326.0,9712.0,37.0,10.0,1331.0,724.0,2055.0,685.0,8567.0,924.0,86.0,560.0,6.0,2122.0,545.0
2023-03-01,10885.0,418.0,292.0,240.0,179.0,843.0,1520.0,246.0,12.0,4020.0,603.0,6190.0,1345.0,95.0,128.0,346.0,10593.0,39.0,12.0,1691.0,1074.0,2765.0,1234.0,9294.0,937.0,163.0,588.0,80.0,2401.0,633.0
2023-04-01,9784.0,384.0,271.0,317.0,236.0,669.0,1480.0,242.0,17.0,3370.0,709.0,5422.0,1063.0,157.0,123.0,,9513.0,36.0,11.0,1279.0,656.0,1934.0,2102.0,8276.0,1038.0,107.0,637.0,73.0,2334.0,479.0
2023-05-01,9909.0,385.0,245.0,455.0,210.0,595.0,1623.0,286.0,76.0,3341.0,586.0,4669.0,511.0,132.0,100.0,347.0,9664.0,36.0,10.0,913.0,650.0,1562.0,3032.0,8525.0,727.0,187.0,1078.0,60.0,2376.0,324.0
2023-06-01,10306.0,377.0,197.0,402.0,120.0,389.0,1337.0,262.0,164.0,4021.0,246.0,4650.0,192.0,96.0,95.0,341.0,10109.0,12.0,2.0,865.0,671.0,1536.0,3560.0,8854.0,419.0,233.0,1226.0,50.0,2214.0,286.0
2023-07-01,10040.0,395.0,208.0,600.0,233.0,378.0,1704.0,271.0,222.0,3438.0,339.0,4281.0,272.0,126.0,106.0,350.0,9832.0,36.0,2.0,1414.0,950.0,2364.0,2792.0,8808.0,562.0,136.0,1300.0,53.0,2334.0,283.0
2023-08-01,10210.0,373.0,264.0,449.0,146.0,251.0,1366.0,242.0,277.0,4340.0,506.0,5508.0,384.0,151.0,127.0,350.0,9947.0,40.0,4.0,888.0,680.0,1567.0,2471.0,8556.0,418.0,223.0,1487.0,25.0,2383.0,231.0
2023-09-01,9652.0,384.0,276.0,304.0,199.0,366.0,1416.0,217.0,331.0,4151.0,591.0,5480.0,467.0,132.0,139.0,338.0,9376.0,38.0,1.0,850.0,618.0,1468.0,2045.0,8648.0,605.0,143.0,882.0,7.0,1761.0,124.0
2023-10-01,9754.0,417.0,302.0,329.0,304.0,812.0,1890.0,265.0,180.0,3150.0,570.0,4928.0,944.0,120.0,143.0,355.0,9452.0,40.0,1.0,1787.0,1325.0,3111.0,1009.0,9088.0,700.0,76.0,765.0,19.0,1837.0,278.0
2023-11-01,9770.0,428.0,254.0,306.0,150.0,1155.0,1887.0,168.0,107.0,3194.0,592.0,5061.0,1051.0,119.0,105.0,348.0,9517.0,38.0,3.0,2107.0,1477.0,3584.0,477.0,9474.0,634.0,104.0,332.0,42.0,1501.0,389.0
2023-12-01,10655.0,447.0,258.0,425.0,191.0,958.0,1811.0,108.0,128.0,3924.0,586.0,5727.0,997.0,109.0,110.0,303.0,10396.0,39.0,1.0,2445.0,1620.0,4064.0,255.0,9898.0,674.0,187.0,568.0,184.0,1862.0,249.0
