Date,Time,WindDirection,WindSpeedAvg60min,WindGust,Temperature,Sunshineperhour,GlobalRadiation,HorizontalVisibility,CloudCover,AvgDailyTemperature,capacity,volume,percentage,emission,emissionfactor
2021-01-01,01:00:00,230,10,20,-3.2,0,0,0,1,2.9708333333333337,0,0,0.0,0,0.0
2021-01-01,02:00:00,230,20,30,-2.7,0,0,4,7,2.9708333333333337,0,0,0.0,0,0.0
2021-01-01,03:00:00,220,20,30,-1.1,0,0,15,8,2.9708333333333337,0,0,0.0,0,0.0
2021-01-01,04:00:00,230,20,40,1.1,0,0,18,8,2.9708333333333337,0,0,0.0,0,0.0
2021-01-01,05:00:00,230,30,40,1.9,0,0,44,8,2.9708333333333337,0,0,0.0,0,0.0
2021-01-01,06:00:00,230,20,40,2.2,0,0,59,8,2.9708333333333337,0,0,0.0,0,0.0
2021-01-01,07:00:00,230,30,40,2.7,0,0,66,8,2.9708333333333337,1547,1547,0.0001667272445047,0,0.0
2021-01-01,08:00:00,230,20,50,3.1,0,6,69,8,2.9708333333333337,142944,142944,0.015405245125294,0,0.0
2021-01-01,09:00:00,220,20,50,3.5,0,19,69,8,2.9708333333333337,685659,685659,0.073891676962376,0,0.0
2021-01-01,10:00:00,230,20,40,4.6000000000000005,2,41,70,8,2.9708333333333337,1344313,1344313,0.14486800134182,0,0.0
2021-01-01,11:00:00,210,20,30,5.0,7,67,70,8,2.9708333333333337,1834146,1834146,0.19764649868011,0,0.0
2021-01-01,12:00:00,200,10,30,5.4,0,31,66,7,2.9708333333333337,1740965,1740965,0.18759874999523,0,0.0
2021-01-01,13:00:00,220,20,50,5.6000000000000005,0,20,70,8,2.9708333333333337,1247839,1247839,0.13445650041103,0,0.0
2021-01-01,14:00:00,230,30,60,5.4,0,9,70,8,2.9708333333333337,826024,826024,0.089002028107643,0,0.0
2021-01-01,15:00:00,230,20,50,5.1000000000000005,0,1,70,8,2.9708333333333337,146338,146338,0.015767067670822,0,0.0
2021-01-01,16:00:00,240,20,40,4.9,0,0,70,8,2.9708333333333337,0,0,0.0,0,0.0
2021-01-01,17:00:00,240,20,50,4.6000000000000005,0,0,70,8,2.9708333333333337,0,0,0.0,0,0.0
2021-01-01,18:00:00,230,20,50,4.5,0,0,65,8,2.9708333333333337,0,0,0.0,0,0.0
2021-01-01,19:00:00,220,20,30,4.6000000000000005,0,0,63,8,2.9708333333333337,0,0,0.0,0,0.0
2021-01-01,20:00:00,220,20,30,3.8,0,0,59,7,2.9708333333333337,0,0,0.0,0,0.0
2021-01-01,21:00:00,210,20,30,4.1000000000000005,0,0,58,8,2.9708333333333337,0,0,0.0,0,0.0
2021-01-01,22:00:00,210,30,50,4.2,0,0,57,8,2.9708333333333337,0,0,0.0,0,0.0
2021-01-01,23:00:00,230,30,50,4.5,0,0,60,8,2.9708333333333337,0,0,0.0,0,0.0
2021-01-01,00:00:00,220,30,50,4.1000000000000005,0,0,56,8,3.6375000000000006,0,0,0.0,0,0.0
2021-01-02,01:00:00,220,20,50,4.0,0,0,56,8,3.6375000000000006,0,0,0.0,0,0.0
2021-01-02,02:00:00,200,20,30,3.7,0,0,56,8,3.6375000000000006,0,0,0.0,0,0.0
2021-01-02,03:00:00,220,20,40,3.6,0,0,50,8,3.6375000000000006,0,0,0.0,0,0.0
2021-01-02,04:00:00,200,20,40,3.4000000000000004,0,0,48,8,3.6375000000000006,0,0,0.0,0,0.0
2021-01-02,05:00:00,220,20,30,3.3000000000000003,0,0,46,8,3.6375000000000006,0,0,0.0,0,0.0
2021-01-02,06:00:00,210,20,30,3.2,0,0,21,8,3.6375000000000006,0,0,0.0,0,0.0
2021-01-02,07:00:00,180,20,40,3.2,0,0,16,8,3.6375000000000006,1918,1918,0.0002065222506644,0,0.0
2021-01-02,08:00:00,220,20,40,3.3000000000000003,0,4,16,8,3.6375000000000006,132193,132193,0.014233552850783,0,0.0
2021-01-02,09:00:00,200,30,40,3.4000000000000004,0,12,15,8,3.6375000000000006,580253,580253,0.062475226819515,0,0.0
2021-01-02,10:00:00,210,20,30,3.7,0,28,26,8,3.6375000000000006,1027597,1027597,0.11063600331545,0,0.0
2021-01-02,11:00:00,200,30,50,3.7,0,17,13,8,3.6375000000000006,1248048,1248048,0.13436624407768,0,0.0
2021-01-02,12:00:00,220,20,40,3.7,0,18,28,8,3.6375000000000006,1221326,1221326,0.13148400187492,0,0.0
2021-01-02,13:00:00,220,10,30,3.9,0,19,30,8,3.6375000000000006,928992,928992,0.10000887513161,0,0.0
2021-01-02,14:00:00,220,10,20,3.9,0,8,33,8,3.6375000000000006,524735,524735,0.056487150490284,0,0.0
2021-01-02,15:00:00,150,10,30,3.9,0,1,29,8,3.6375000000000006,107472,107472,0.011568892747164,0,0.0
2021-01-02,16:00:00,130,20,30,3.7,0,0,19,8,3.6375000000000006,0,0,0.0,0,0.0
2021-01-02,17:00:00,160,20,30,3.5,0,0,13,8,3.6375000000000006,0,0,0.0,0,0.0
