Region,Year,Capacity Factor,Capacity (MW),Production (kWh),Wind Turbines
Drenthe (PV),2021,16.9,221.0,207.0,61.0
Drenthe (PV),2022,32.9,246.0,643.0,68.0
Drenthe (PV),2023,33.0,271.0,786.0,75.0
Flevoland (PV),2021,22.1,1285.0,2285.0,613.0
Flevoland (PV),2022,24.0,1584.0,3043.0,627.0
Flevoland (PV),2023,29.6,1992.0,4570.0,689.0
Fryslân (PV),2021,23.2,576.0,946.0,368.0
Fryslân (PV),2022,32.3,619.0,1679.0,370.0
Fryslân (PV),2023,35.3,619.0,1915.0,370.0
Gelderland (PV),2021,25.2,171.0,361.0,61.0
Gelderland (PV),2022,23.7,234.0,455.0,78.0
Gelderland (PV),2023,29.6,247.0,624.0,81.0
Groningen (PV),2021,25.6,731.0,1563.0,262.0
Groningen (PV),2022,29.1,839.0,2043.0,284.0
Groningen (PV),2023,31.2,868.0,2315.0,290.0
Limburg (PV),2021,21.6,72.0,80.0,19.0
Limburg (PV),2022,27.2,114.0,215.0,28.0
Limburg (PV),2023,30.5,125.0,331.0,31.0
Nederland,2021,24.2,5186.0,10058.0,2308.0
Nederland,2022,27.3,6131.0,13440.0,2446.0
Nederland,2023,31.5,6757.0,17814.0,2557.0
Noord-Brabant (PV),2021,22.9,301.0,541.0,135.0
Noord-Brabant (PV),2022,23.1,353.0,616.0,144.0
Noord-Brabant (PV),2023,28.9,428.0,1055.0,160.0
Noord-Holland (PV),2021,28.6,652.0,1631.0,316.0
Noord-Holland (PV),2022,30.7,700.0,1855.0,330.0
Noord-Holland (PV),2023,33.8,700.0,2072.0,329.0
Overijssel (PV),2021,22.3,74.0,135.0,29.0
Overijssel (PV),2022,23.7,74.0,155.0,29.0
Overijssel (PV),2023,27.2,87.0,188.0,32.0
Utrecht (PV),2021,24.3,34.0,73.0,16.0
Utrecht (PV),2022,26.3,34.0,78.0,16.0
Utrecht (PV),2023,31.3,34.0,94.0,16.0
Zeeland (PV),2021,25.8,549.0,1174.0,243.0
Zeeland (PV),2022,26.2,566.0,1295.0,248.0
Zeeland (PV),2023,31.5,611.0,1656.0,258.0
Zuid-Holland (PV),2021,24.0,520.0,1061.0,185.0
Zuid-Holland (PV),2022,26.4,767.0,1363.0,224.0
Zuid-Holland (PV),2023,32.8,775.0,2208.0,226.0
