"Zonnestroom; vermogen en vermogensklasse, bedrijven en woningen, regio"
"Sector en vermogensklasse: Alle economische activiteit en woningen"
"";"";"";"Perioden"
"Regio's";"Onderwerp";"";"2021 ";"2022";"2023 **";"2024 eerste helft*"
"Nederland";"Installaties";"aantal";"1730285";"2298859";"2875487";"3023653"
"Nederland";"Opgesteld vermogen van zonnepanelen";"kWp";"14822880";"19536096";"24301725";"26065113"
"Nederland";"Opgesteld vermogen omvormers";"kW";"";"17451365";"21394768";"22814464"
"Nederland";"Productie van zonnestroom";"mln kWh";"11304";"16659";"19580";"10984"
"Noord-Nederland (LD)";"Installaties";"aantal";"246365";"309909";"379524";"398051"
"Noord-Nederland (LD)";"Opgesteld vermogen van zonnepanelen";"kWp";"2919133";"3748906";"4521629";"4820016"
"Noord-Nederland (LD)";"Opgesteld vermogen omvormers";"kW";"";"3335609";"3969351";"4225506"
"Noord-Nederland (LD)";"Productie van zonnestroom";"mln kWh";"2283";"3172";"3663";"2009"
"Oost-Nederland (LD)";"Installaties";"aantal";"407109";"532433";"671946";"709308"
"Oost-Nederland (LD)";"Opgesteld vermogen van zonnepanelen";"kWp";"3740599";"4996742";"6267252";"6762705"
"Oost-Nederland (LD)";"Opgesteld vermogen omvormers";"kW";"";"4490272";"5557457";"5938911"
"Oost-Nederland (LD)";"Productie van zonnestroom";"mln kWh";"2778";"4195";"4987";"2835"
"West-Nederland (LD)";"Installaties";"aantal";"655231";"917449";"1140286";"1198009"
"West-Nederland (LD)";"Opgesteld vermogen van zonnepanelen";"kWp";"4394528";"5956140";"7463203";"7984097"
"West-Nederland (LD)";"Opgesteld vermogen omvormers";"kW";"";"5360882";"6615965";"7038230"
"West-Nederland (LD)";"Productie van zonnestroom";"mln kWh";"3362";"5135";"6039";"3482"
"Zuid-Nederland (LD)";"Installaties";"aantal";"421154";"538559";"683211";"717752"
"Zuid-Nederland (LD)";"Opgesteld vermogen van zonnepanelen";"kWp";"3754231";"4817100";"6020962";"6322441"
"Zuid-Nederland (LD)";"Opgesteld vermogen omvormers";"kW";"";"4249835";"5228305";"5471693"
"Zuid-Nederland (LD)";"Productie van zonnestroom";"mln kWh";"2870";"4142";"4866";"2630"
"Niet in te delen (LD)";"Installaties";"aantal";"426";"509";"520";"533"
"Niet in te delen (LD)";"Opgesteld vermogen van zonnepanelen";"kWp";"14389";"17208";"28679";"175854"
"Niet in te delen (LD)";"Opgesteld vermogen omvormers";"kW";"";"14768";"23689";"140124"
"Niet in te delen (LD)";"Productie van zonnestroom";"mln kWh";"12";"16";"25";"28"
"Groningen (PV)";"Installaties";"aantal";"77736";"98213";"120133";"126774"
"Groningen (PV)";"Opgesteld vermogen van zonnepanelen";"kWp";"1156477";"1334696";"1631399";"1788593"
"Groningen (PV)";"Opgesteld vermogen omvormers";"kW";"";"1155914";"1391598";"1530937"
"Groningen (PV)";"Productie van zonnestroom";"mln kWh";"901";"1182";"1328";"738"
"Fryslân (PV)";"Installaties";"aantal";"92028";"117815";"143300";"149750"
"Fryslân (PV)";"Opgesteld vermogen van zonnepanelen";"kWp";"865297";"1040289";"1248600";"1303461"
