Year,Regio's,Installaties,Opgesteld vermogen omvormers,Opgesteld vermogen van zonnepanelen,Productie van zonnestroom
2021 ,'s-Gravenhage (gemeente),17989.0,,77435.0,
2021 ,'s-Hertogenbosch,13883.0,,103745.0,
2021 ,Aa en Hunze,4392.0,,33382.0,
2021 ,Aalsmeer,3093.0,,34473.0,
2021 ,Aalten,3346.0,,33100.0,
2021 ,Achtkarspelen,3158.0,,34398.0,
2021 ,Alblasserdam,1234.0,,7721.0,
2021 ,Albrandswaard,2126.0,,14970.0,
2021 ,Alkmaar,11538.0,,59943.0,
2021 ,Almelo,5894.0,,97637.0,
2021 ,Almere,18703.0,,124139.0,
2021 ,Alphen aan den Rijn,12559.0,,69882.0,
2021 ,Alphen-Chaam,1145.0,,13716.0,
2021 ,Altena,5952.0,,50993.0,
2021 ,Ameland,483.0,,8761.0,
2021 ,Amersfoort,18074.0,,80978.0,
2021 ,Amstelveen,5683.0,,28643.0,
2021 ,Amsterdam,24429.0,,160576.0,
2021 ,Apeldoorn,18507.0,,138371.0,
2021 ,Arnhem,10789.0,,61514.0,
2021 ,Assen,10164.0,,55032.0,
2021 ,Asten,2215.0,,32788.0,
2021 ,Baarle-Nassau,702.0,,13912.0,
2021 ,Baarn,2260.0,,9571.0,
2021 ,Barendrecht,4506.0,,28640.0,
2021 ,Barneveld,6224.0,,73376.0,
2021 ,Beek (L.),2522.0,,13513.0,
2021 ,Beekdaelen,5458.0,,31614.0,
2021 ,Beemster,1436.0,,9902.0,
2021 ,Beesel,1856.0,,10538.0,
2021 ,Berg en Dal,3945.0,,21385.0,
2021 ,Bergeijk,2553.0,,30457.0,
2021 ,Bergen (L.),1819.0,,15073.0,
2021 ,Bergen (NH.),5095.0,,23247.0,
2021 ,Bergen op Zoom,7642.0,,43476.0,
2021 ,Berkelland,5485.0,,66076.0,
2021 ,Bernheze,4202.0,,45510.0,
2021 ,Best,4350.0,,36782.0,
2021 ,Beuningen,3040.0,,26356.0,
2021 ,Beverwijk,3620.0,,13748.0,
2021 ,Bladel,2651.0,,35120.0,
2021 ,Blaricum,971.0,,4197.0,
2021 ,Bloemendaal,1545.0,,7457.0,
2021 ,Bodegraven-Reeuwijk,4083.0,,28457.0,
2021 ,Boekel,1518.0,,31202.0,
2021 ,Borger-Odoorn,4195.0,,193712.0,
2021 ,Borne,3157.0,,16683.0,
2021 ,Borsele,3840.0,,105402.0,
2021 ,Boxmeer,3894.0,,40631.0,
2021 ,Boxtel,4029.0,,26149.0,
2021 ,Breda,11910.0,,121128.0,
2021 ,Brielle,1609.0,,9226.0,
2021 ,Bronckhorst,4777.0,,41861.0,
2021 ,Brummen,3343.0,,26801.0,
2021 ,Brunssum,3022.0,,12938.0,
2021 ,Bunnik,2276.0,,14017.0,
2021 ,Bunschoten,2011.0,,25074.0,
2021 ,Buren,3267.0,,28558.0,
2021 ,Capelle aan den IJssel,3206.0,,14466.0,
2021 ,Castricum,6025.0,,21147.0,
2021 ,Coevorden,6082.0,,93650.0,
2021 ,Cranendonck,2912.0,,70314.0,
2021 ,Cuijk,3403.0,,28252.0,
2021 ,Culemborg,3601.0,,19651.0,
2021 ,Dalfsen,5170.0,,41657.0,
2021 ,Dantumadiel,3371.0,,17451.0,
2021 ,De Bilt,3152.0,,17479.0,
2021 ,De Fryske Marren,8268.0,,68494.0,
2021 ,De Ronde Venen,5947.0,,26460.0,
2021 ,De Wolden,4552.0,,27245.0,
2021 ,Delft,5722.0,,23619.0,
2021 ,Den Helder,7104.0,,63654.0,
2021 ,Deurne,3737.0,,51277.0,
2021 ,Deventer,9609.0,,55851.0,
2021 ,Diemen,2173.0,,9893.0,
2021 ,Dinkelland,3526.0,,36519.0,
2021 ,Doesburg,1076.0,,5347.0,
2021 ,Doetinchem,7078.0,,39718.0,
2021 ,Dongen,2913.0,,28677.0,
2021 ,Dordrecht,6393.0,,51547.0,
2021 ,Drechterland,3160.0,,25748.0,
2021 ,Drenthe (PV),76601.0,,897359.0,692.0
2021 ,Drimmelen,2712.0,,24759.0,
2021 ,Dronten,6532.0,,105506.0,
2021 ,Druten,2292.0,,48797.0,
2021 ,Duiven,2687.0,,21944.0,
2021 ,Echt-Susteren,4813.0,,33364.0,
2021 ,Edam-Volendam,3111.0,,16483.0,
2021 ,Ede,11726.0,,99149.0,
2021 ,Eemnes,1517.0,,12079.0,
2021 ,Eemsdelta,7783.0,,104182.0,
2021 ,Eersel,2725.0,,26065.0,
2021 ,Eijsden-Margraten,3996.0,,25905.0,
2021 ,Eindhoven,21448.0,,141105.0,
2021 ,Elburg,3055.0,,19038.0,
2021 ,Emmen,13679.0,,167430.0,
2021 ,Enkhuizen,1494.0,,8007.0,
2021 ,Enschede,11339.0,,96725.0,
2021 ,Epe,3314.0,,27754.0,
2021 ,Ermelo,3417.0,,26634.0,
2021 ,Etten-Leur,3741.0,,39217.0,
2021 ,Flevoland (PV),46201.0,,585708.0,436.0
2021 ,Fryslân (PV),92028.0,,865297.0,690.0
2021 ,Geertruidenberg,2072.0,,22436.0,
2021 ,Gelderland (PV),231904.0,,1885896.0,1411.0
2021 ,Geldrop-Mierlo,5043.0,,24369.0,
2021 ,Gemeenten; niet in te delen,426.0,,14389.0,12.0
2021 ,Gemert-Bakel,4377.0,,50439.0,
2021 ,Gennep,2303.0,,36743.0,
2021 ,Gilze en Rijen,2716.0,,25015.0,
2021 ,Goeree-Overflakkee,7438.0,,149436.0,
2021 ,Goes,5677.0,,36159.0,
2021 ,Goirle,2418.0,,18806.0,
2021 ,Gooise Meren,3405.0,,15087.0,
2021 ,Gorinchem,2822.0,,20184.0,
2021 ,Gouda,5532.0,,24293.0,
2021 ,Grave,1520.0,,8764.0,
2021 ,Groningen (PV),77736.0,,1156477.0,901.0
2021 ,Groningen (gemeente),23956.0,,146201.0,
2021 ,Gulpen-Wittem,1784.0,,10234.0,
2021 ,Haaksbergen,2902.0,,20289.0,
2021 ,Haarlem,9222.0,,38339.0,
2021 ,Haarlemmermeer,16066.0,,142255.0,
2021 ,Halderberge,3626.0,,41474.0,
2021 ,Hardenberg,7425.0,,94520.0,
2021 ,Harderwijk,4818.0,,27655.0,
2021 ,Hardinxveld-Giessendam,2568.0,,12472.0,
2021 ,Harlingen,3116.0,,20815.0,
2021 ,Hattem,1180.0,,5704.0,
2021 ,Heemskerk,4421.0,,17917.0,
2021 ,Heemstede,2108.0,,9281.0,
2021 ,Heerde,2158.0,,12215.0,
2021 ,Heerenveen,6735.0,,81391.0,
2021 ,Heerhugowaard,8617.0,,53541.0,
2021 ,Heerlen,7429.0,,47022.0,
2021 ,Heeze-Leende,2365.0,,21102.0,
2021 ,Heiloo,4228.0,,15257.0,
2021 ,Hellendoorn,4444.0,,33130.0,
2021 ,Hellevoetsluis,3598.0,,16382.0,
2021 ,Helmond,9732.0,,50045.0,
2021 ,Hendrik-Ido-Ambacht,2829.0,,10489.0,
2021 ,Hengelo (O.),7062.0,,50004.0,
2021 ,Het Hogeland,8476.0,,103540.0,
2021 ,Heumen,2585.0,,13095.0,
2021 ,Heusden,4878.0,,41223.0,
2021 ,Hillegom,2228.0,,15014.0,
2021 ,Hilvarenbeek,1854.0,,24746.0,
2021 ,Hilversum,5732.0,,22209.0,
2021 ,Hoeksche Waard,10523.0,,86342.0,
2021 ,Hof van Twente,4676.0,,75625.0,
2021 ,Hollands Kroon,6897.0,,102272.0,
2021 ,Hoogeveen,7835.0,,102922.0,
2021 ,Hoorn,7264.0,,31512.0,
2021 ,Horst aan de Maas,7130.0,,79754.0,
2021 ,Houten,5973.0,,62980.0,
2021 ,Huizen,4609.0,,16649.0,
2021 ,Hulst,4765.0,,25578.0,
2021 ,IJsselstein,2914.0,,15041.0,
2021 ,Kaag en Braassem,4016.0,,21006.0,
2021 ,Kampen,6181.0,,62859.0,
2021 ,Kapelle,2152.0,,14992.0,
2021 ,Katwijk,4857.0,,25916.0,
2021 ,Kerkrade,6193.0,,45228.0,
2021 ,Koggenland,3092.0,,24518.0,
2021 ,Krimpen aan den IJssel,2128.0,,9898.0,
2021 ,Krimpenerwaard,5112.0,,34769.0,
2021 ,Laarbeek,3080.0,,26660.0,
2021 ,Landerd,2132.0,,20351.0,
2021 ,Landgraaf,5205.0,,36831.0,
2021 ,Landsmeer,1195.0,,5478.0,
2021 ,Langedijk,4295.0,,25590.0,
2021 ,Lansingerland,7769.0,,75601.0,
2021 ,Laren (NH.),395.0,,2043.0,
2021 ,Leeuwarden,15464.0,,131111.0,
2021 ,Leiden,6659.0,,25985.0,
2021 ,Leiderdorp,2321.0,,8963.0,
2021 ,Leidschendam-Voorburg,3736.0,,15580.0,
2021 ,Lelystad,9974.0,,148804.0,
2021 ,Leudal,5611.0,,52823.0,
2021 ,Leusden,4023.0,,22815.0,
2021 ,Limburg (PV),145009.0,,1176294.0,912.0
2021 ,Lingewaard,6860.0,,54223.0,
2021 ,Lisse,3056.0,,11527.0,
2021 ,Lochem,4554.0,,58221.0,
2021 ,Loon op Zand,2356.0,,13672.0,
2021 ,Lopik,1664.0,,15015.0,
2021 ,Losser,3005.0,,48735.0,
2021 ,Maasdriel,3690.0,,27248.0,
2021 ,Maasgouw,4141.0,,20661.0,
2021 ,Maassluis,2163.0,,8824.0,
2021 ,Maastricht,8254.0,,59230.0,
2021 ,Medemblik,6715.0,,91327.0,
2021 ,Meerssen,2802.0,,13985.0,
2021 ,Meierijstad,12012.0,,131827.0,
2021 ,Meppel,4277.0,,21259.0,
2021 ,Middelburg (Z.),5881.0,,39181.0,
2021 ,Midden-Delfland,2419.0,,17967.0,
2021 ,Midden-Drenthe,6425.0,,78358.0,
2021 ,Midden-Groningen,10566.0,,280487.0,
2021 ,Mill en Sint Hubert,1441.0,,13125.0,
2021 ,Moerdijk,4459.0,,89769.0,
2021 ,Molenlanden,4428.0,,40722.0,
2021 ,Montferland,6130.0,,42708.0,
2021 ,Montfoort,1596.0,,18083.0,
2021 ,Mook en Middelaar,1221.0,,6033.0,
2021 ,Neder-Betuwe,2436.0,,27781.0,
2021 ,Nederland,1730285.0,,14822880.0,11304.0
2021 ,Nederweert,2806.0,,42816.0,
2021 ,Niet in te delen (LD),426.0,,14389.0,12.0
2021 ,Niet in te delen (PV),426.0,,14389.0,12.0
2021 ,Nieuwegein,5474.0,,51421.0,
2021 ,Nieuwkoop,3065.0,,20892.0,
2021 ,Nijkerk,5328.0,,41233.0,
2021 ,Nijmegen,15567.0,,70602.0,
2021 ,Nissewaard,7998.0,,29895.0,
