"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2021-12-31 23:00:00","2022-01-01 00:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,408500,408500,0.52371799945831,122550,0.30000001192093
"2022-01-01 00:00:00","2022-01-01 01:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,407250,407250,0.52211552858353,122175,0.30000001192093
"2022-01-01 01:00:00","2022-01-01 02:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,407750,407750,0.52275651693344,122325,0.30000001192093
"2022-01-01 02:00:00","2022-01-01 03:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,408250,408250,0.52339750528336,122475,0.30000001192093
"2022-01-01 03:00:00","2022-01-01 04:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,411250,411250,0.52724349498749,123375,0.30000001192093
"2022-01-01 04:00:00","2022-01-01 05:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,412750,412750,0.52916651964188,123825,0.30000001192093
"2022-01-01 05:00:00","2022-01-01 06:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,420500,420500,0.53910249471664,126150,0.30000001192093
"2022-01-01 06:00:00","2022-01-01 07:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,422250,422250,0.54134601354599,126675,0.30000001192093
"2022-01-01 07:00:00","2022-01-01 08:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,415500,415500,0.53269201517105,124650,0.30000001192093
"2022-01-01 08:00:00","2022-01-01 09:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,415250,415250,0.53237152099609,124575,0.30000001192093
"2022-01-01 09:00:00","2022-01-01 10:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,418000,418000,0.53589725494385,125400,0.30000001192093
"2022-01-01 10:00:00","2022-01-01 11:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,420250,420250,0.53878200054169,126075,0.30000001192093
"2022-01-01 11:00:00","2022-01-01 12:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,420250,420250,0.53878200054169,126075,0.30000001192093
"2022-01-01 12:00:00","2022-01-01 13:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,416750,416750,0.53429502248764,125025,0.30000001192093
"2022-01-01 13:00:00","2022-01-01 14:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,418500,418500,0.53653824329376,125550,0.30000001192093
"2022-01-01 14:00:00","2022-01-01 15:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,417750,417750,0.53557676076889,125325,0.30000001192093
"2022-01-01 15:00:00","2022-01-01 16:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,420000,420000,0.53846150636673,126000,0.30000001192093
"2022-01-01 16:00:00","2022-01-01 17:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,417000,417000,0.53461527824402,125100,0.30000001192093
"2022-01-01 17:00:00","2022-01-01 18:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,413250,413250,0.52980750799179,123975,0.30000001192093
"2022-01-01 18:00:00","2022-01-01 19:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,419750,419750,0.53814101219177,125925,0.30000001192093
"2022-01-01 19:00:00","2022-01-01 20:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,424000,424000,0.54358977079391,127200,0.30000001192093
"2022-01-01 20:00:00","2022-01-01 21:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,422500,422500,0.54166674613953,126750,0.30000001192093
"2022-01-01 21:00:00","2022-01-01 22:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,424500,424500,0.54423075914383,127350,0.30000001192093
"2022-01-01 22:00:00","2022-01-01 23:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,427500,427500,0.54807698726654,128250,0.30000001192093
"2022-01-01 23:00:00","2022-01-02 00:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,429500,429500,0.55064100027084,128850,0.30000001192093
"2022-01-02 00:00:00","2022-01-02 01:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,417000,417000,0.5346155166626,125100,0.30000001192093
"2022-01-02 01:00:00","2022-01-02 02:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,418750,418750,0.5368589758873,125625,0.30000001192093
"2022-01-02 02:00:00","2022-01-02 03:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,415750,415750,0.53301250934601,124725,0.30000001192093
"2022-01-02 03:00:00","2022-01-02 04:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,423000,423000,0.54230797290802,126900,0.30000001192093
"2022-01-02 04:00:00","2022-01-02 05:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,420000,420000,0.53846150636673,126000,0.30000001192093
