"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2021-12-31 23:00:00","2022-01-01 00:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1714000,1714000,0,678744,0.39599999785423
"2022-01-01 00:00:00","2022-01-01 01:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1823000,1823000,0,721908,0.39599999785423
"2022-01-01 01:00:00","2022-01-01 02:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1956250,1956250,0,774675,0.39599999785423
"2022-01-01 02:00:00","2022-01-01 03:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1663500,1663500,0,658746,0.39599999785423
"2022-01-01 03:00:00","2022-01-01 04:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1654750,1654750,0,655281,0.39599999785423
"2022-01-01 04:00:00","2022-01-01 05:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1666500,1666500,0,659934,0.39599999785423
"2022-01-01 05:00:00","2022-01-01 06:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1475250,1475250,0,584199,0.39599999785423
"2022-01-01 06:00:00","2022-01-01 07:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1641250,1641250,0,649935,0.39599999785423
"2022-01-01 07:00:00","2022-01-01 08:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1659000,1659000,0,656964,0.39599999785423
"2022-01-01 08:00:00","2022-01-01 09:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1593000,1593000,0,630828,0.39599999785423
"2022-01-01 09:00:00","2022-01-01 10:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1491000,1491000,0,590436,0.39599999785423
"2022-01-01 10:00:00","2022-01-01 11:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1625750,1625750,0,643797,0.39599999785423
"2022-01-01 11:00:00","2022-01-01 12:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1769750,1769750,0,700821,0.39599999785423
"2022-01-01 12:00:00","2022-01-01 13:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1797500,1797500,0,711810,0.39599999785423
"2022-01-01 13:00:00","2022-01-01 14:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1744000,1744000,0,690624,0.39599999785423
"2022-01-01 14:00:00","2022-01-01 15:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1754750,1754750,0,694881,0.39599999785423
"2022-01-01 15:00:00","2022-01-01 16:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1986250,1986250,0,786555,0.39599999785423
"2022-01-01 16:00:00","2022-01-01 17:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,2019250,2019250,0,799623,0.39599999785423
"2022-01-01 17:00:00","2022-01-01 18:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1985250,1985250,0,786159,0.39599999785423
"2022-01-01 18:00:00","2022-01-01 19:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1910000,1910000,0,756360,0.39599999785423
"2022-01-01 19:00:00","2022-01-01 20:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1770250,1770250,0,701019,0.39599999785423
"2022-01-01 20:00:00","2022-01-01 21:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1736250,1736250,0,687555,0.39599999785423
"2022-01-01 21:00:00","2022-01-01 22:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1869000,1869000,0,740124,0.39599999785423
"2022-01-01 22:00:00","2022-01-01 23:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1818250,1818250,0,720027,0.39599999785423
"2022-01-01 23:00:00","2022-01-02 00:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1521000,1521000,0,602316,0.39599999785423
"2022-01-02 00:00:00","2022-01-02 01:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1490250,1490250,0,590139,0.39599999785423
"2022-01-02 01:00:00","2022-01-02 02:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1491750,1491750,0,590733,0.39599999785423
"2022-01-02 02:00:00","2022-01-02 03:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1511750,1511750,0,598653,0.39599999785423
"2022-01-02 03:00:00","2022-01-02 04:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1504500,1504500,0,595782,0.39599999785423
"2022-01-02 04:00:00","2022-01-02 05:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1492250,1492250,0,590931,0.39599999785423
"2022-01-02 05:00:00","2022-01-02 06:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1517250,1517250,0,600831,0.39599999785423
"2022-01-02 06:00:00","2022-01-02 07:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1526750,1526750,0,604593,0.39599999785423
"2022-01-02 07:00:00","2022-01-02 08:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1543500,1543500,0,611226,0.39599999785423
"2022-01-02 08:00:00","2022-01-02 09:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1552750,1552750,0,614889,0.39599999785423
"2022-01-02 09:00:00","2022-01-02 10:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1574250,1574250,0,623403,0.39599999785423
"2022-01-02 10:00:00","2022-01-02 11:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1563250,1563250,0,619047,0.39599999785423
"2022-01-02 11:00:00","2022-01-02 12:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1618250,1618250,0,640827,0.39599999785423
"2022-01-02 12:00:00","2022-01-02 13:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1630000,1630000,0,645480,0.39599999785423
"2022-01-02 13:00:00","2022-01-02 14:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1572500,1572500,0,622710,0.39599999785423
"2022-01-02 14:00:00","2022-01-02 15:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1620250,1620250,0,641619,0.39599999785423
"2022-01-02 15:00:00","2022-01-02 16:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1679500,1679500,0,665082,0.39599999785423
"2022-01-02 16:00:00","2022-01-02 17:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1776000,1776000,0,703296,0.39599999785423
"2022-01-02 17:00:00","2022-01-02 18:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1860750,1860750,0,736857,0.39599999785423
"2022-01-02 18:00:00","2022-01-02 19:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1715500,1715500,0,679338,0.39599999785423
"2022-01-02 19:00:00","2022-01-02 20:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1673250,1673250,0,662607,0.39599999785423
"2022-01-02 20:00:00","2022-01-02 21:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1666500,1666500,0,659934,0.39599999785423
"2022-01-02 21:00:00","2022-01-02 22:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1610750,1610750,0,637857,0.39599999785423
"2022-01-02 22:00:00","2022-01-02 23:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1592000,1592000,0,630432,0.39599999785423
"2022-01-02 23:00:00","2022-01-03 00:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1668500,1668500,0,660726,0.39599999785423
"2022-01-03 00:00:00","2022-01-03 01:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1659750,1659750,0,657261,0.39599999785423
"2022-01-03 01:00:00","2022-01-03 02:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1663000,1663000,0,658548,0.39599999785423
"2022-01-03 02:00:00","2022-01-03 03:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1653250,1653250,0,654687,0.39599999785423
"2022-01-03 03:00:00","2022-01-03 04:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1716500,1716500,0,679734,0.39599999785423
"2022-01-03 04:00:00","2022-01-03 05:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1728000,1728000,0,684288,0.39599999785423
"2022-01-03 05:00:00","2022-01-03 06:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1593500,1593500,0,631026,0.39599999785423
"2022-01-03 06:00:00","2022-01-03 07:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1641500,1641500,0,650034,0.39599999785423
"2022-01-03 07:00:00","2022-01-03 08:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1720500,1720500,0,681318,0.39599999785423
"2022-01-03 08:00:00","2022-01-03 09:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1728500,1728500,0,684486,0.39599999785423
"2022-01-03 09:00:00","2022-01-03 10:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1777000,1777000,0,703692,0.39599999785423
"2022-01-03 10:00:00","2022-01-03 11:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1796500,1796500,0,711414,0.39599999785423
"2022-01-03 11:00:00","2022-01-03 12:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1754500,1754500,0,694782,0.39599999785423
"2022-01-03 12:00:00","2022-01-03 13:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1892750,1892750,0,749529,0.39599999785423
"2022-01-03 13:00:00","2022-01-03 14:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1992000,1992000,0,788832,0.39599999785423
