"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2022-12-31 23:00:00","2023-01-01 00:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,964628,964628,1.9292525053024,769770,0.79799997806549
"2023-01-01 00:00:00","2023-01-01 01:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,908418,908418,1.8168375492096,724915,0.79799997806549
"2023-01-01 01:00:00","2023-01-01 02:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,917282,917282,1.8345675468445,731989,0.79799997806549
"2023-01-01 02:00:00","2023-01-01 03:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,923191,923191,1.8463824987411,736705,0.79799997806549
"2023-01-01 03:00:00","2023-01-01 04:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,932795,932795,1.8655899763107,744369,0.79799997806549
"2023-01-01 04:00:00","2023-01-01 05:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,934642,934642,1.8692824840546,745841,0.79799997806549
"2023-01-01 05:00:00","2023-01-01 06:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,938705,938705,1.8774100542068,749084,0.79799997806549
"2023-01-01 06:00:00","2023-01-01 07:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,955879,955879,1.9117599725723,762789,0.79799997806549
"2023-01-01 07:00:00","2023-01-01 08:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,950154,950154,1.9003075361252,758221,0.79799997806549
"2023-01-01 08:00:00","2023-01-01 09:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,932611,932611,1.865219950676,744220,0.79799997806549
"2023-01-01 09:00:00","2023-01-01 10:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,894568,894568,1.789134979248,713864,0.79799997806549
"2023-01-01 10:00:00","2023-01-01 11:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,897336,897336,1.7946724891663,716072,0.79799997806549
"2023-01-01 11:00:00","2023-01-01 12:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,895674,895674,1.7913500070572,714746,0.79799997806549
"2023-01-01 12:00:00","2023-01-01 13:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,895860,895860,1.791722536087,714894,0.79799997806549
"2023-01-01 13:00:00","2023-01-01 14:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,896228,896228,1.7924574613571,715188,0.79799997806549
"2023-01-01 14:00:00","2023-01-01 15:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,907864,907864,1.8157274723053,724473,0.79799997806549
"2023-01-01 15:00:00","2023-01-01 16:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,913405,913405,1.8268074989319,728895,0.79799997806549
"2023-01-01 16:00:00","2023-01-01 17:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,1025133,1025133,2.0502624511719,818054,0.79799997806549
"2023-01-01 17:00:00","2023-01-01 18:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,1032519,1032519,2.0650401115417,823948,0.79799997806549
"2023-01-01 18:00:00","2023-01-01 19:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,990045,990045,1.980087518692,790054,0.79799997806549
"2023-01-01 19:00:00","2023-01-01 20:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,898814,898814,1.7976274490356,717251,0.79799997806549
