"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2020-12-31 23:00:00","2021-01-01 00:00:00",Nederland,ElectricityMix,Hour,UTC,Providing,Current,10899486,10899486,0.29637750983238,3939727,0.36142474412918
"2021-01-01 00:00:00","2021-01-01 01:00:00",Nederland,ElectricityMix,Hour,UTC,Providing,Current,10180546,10180546,0.27682501077652,3646349,0.35813975334167
"2021-01-01 01:00:00","2021-01-01 02:00:00",Nederland,ElectricityMix,Hour,UTC,Providing,Current,9166898,9166898,0.24925950169563,3201484,0.34921073913574
"2021-01-01 02:00:00","2021-01-01 03:00:00",Nederland,ElectricityMix,Hour,UTC,Providing,Current,8063012,8063012,0.21924124658108,2739129,0.33963376283646
"2021-01-01 03:00:00","2021-01-01 04:00:00",Nederland,ElectricityMix,Hour,UTC,Providing,Current,7712362,7712362,0.20970425009727,2552202,0.33091551065445
"2021-01-01 04:00:00","2021-01-01 05:00:00",Nederland,ElectricityMix,Hour,UTC,Providing,Current,7898392,7898392,0.21476000547409,2622654,0.33204174041748
"2021-01-01 05:00:00","2021-01-01 06:00:00",Nederland,ElectricityMix,Hour,UTC,Providing,Current,8269806,8269806,0.22485625743866,2730816,0.33021700382233
"2021-01-01 06:00:00","2021-01-01 07:00:00",Nederland,ElectricityMix,Hour,UTC,Providing,Current,8596454,8596454,0.23373499512672,2872574,0.33413526415825
"2021-01-01 07:00:00","2021-01-01 08:00:00",Nederland,ElectricityMix,Hour,UTC,Providing,Current,9032946,9032946,0.2456007450819,3091592,0.3422355055809
"2021-01-01 08:00:00","2021-01-01 09:00:00",Nederland,ElectricityMix,Hour,UTC,Providing,Current,10269591,10269591,0.27922123670578,3539842,0.34471750259399
"2021-01-01 09:00:00","2021-01-01 10:00:00",Nederland,ElectricityMix,Hour,UTC,Providing,Current,11621321,11621321,0.31596973538399,3921629,0.33752223849297
"2021-01-01 10:00:00","2021-01-01 11:00:00",Nederland,ElectricityMix,Hour,UTC,Providing,Current,12562014,12562014,0.34154251217842,4037428,0.32149076461792
"2021-01-01 11:00:00","2021-01-01 12:00:00",Nederland,ElectricityMix,Hour,UTC,Providing,Current,13220779,13220779,0.35944899916649,4083067,0.30886349081993
"2021-01-01 12:00:00","2021-01-01 13:00:00",Nederland,ElectricityMix,Hour,UTC,Providing,Current,13094520,13094520,0.35601225495338,4035347,0.30819773674011
"2021-01-01 13:00:00","2021-01-01 14:00:00",Nederland,ElectricityMix,Hour,UTC,Providing,Current,13027189,13027189,0.35417774319649,4203192,0.32265225052834
"2021-01-01 14:00:00","2021-01-01 15:00:00",Nederland,ElectricityMix,Hour,UTC,Providing,Current,13234063,13234063,0.35979825258255,4475872,0.33821874856949
