"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2022-12-31 23:00:00","2023-01-01 00:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,761094,761094,0,226806,0.29800000786781
"2023-01-01 00:00:00","2023-01-01 01:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,755678,755678,0,225192,0.29800000786781
"2023-01-01 01:00:00","2023-01-01 02:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,743921,743921,0,221688,0.29800000786781
"2023-01-01 02:00:00","2023-01-01 03:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,738522,738522,0,220079,0.29800000786781
"2023-01-01 03:00:00","2023-01-01 04:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,750526,750526,0,223656,0.29800000786781
"2023-01-01 04:00:00","2023-01-01 05:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,791413,791413,0,235841,0.29800000786781
"2023-01-01 05:00:00","2023-01-01 06:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,862701,862701,0,257084,0.29800000786781
"2023-01-01 06:00:00","2023-01-01 07:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,998251,998251,0,297478,0.29800000786781
"2023-01-01 07:00:00","2023-01-01 08:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1075923,1075923,0,320625,0.29800000786781
"2023-01-01 08:00:00","2023-01-01 09:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1161404,1161404,0,346098,0.29800000786781
"2023-01-01 09:00:00","2023-01-01 10:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1182849,1182849,0,352489,0.29800000786781
"2023-01-01 10:00:00","2023-01-01 11:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1146328,1146328,0,341605,0.29800000786781
"2023-01-01 11:00:00","2023-01-01 12:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1132925,1132925,0,337611,0.29800000786781
"2023-01-01 12:00:00","2023-01-01 13:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1062948,1062948,0,316758,0.29800000786781
"2023-01-01 13:00:00","2023-01-01 14:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1091621,1091621,0,325303,0.29800000786781
"2023-01-01 14:00:00","2023-01-01 15:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1112259,1112259,0,331453,0.29800000786781
"2023-01-01 15:00:00","2023-01-01 16:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1147964,1147964,0,342093,0.29800000786781
"2023-01-01 16:00:00","2023-01-01 17:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1189148,1189148,0,354366,0.29800000786781
"2023-01-01 17:00:00","2023-01-01 18:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1182498,1182498,0,352384,0.29800000786781
"2023-01-01 18:00:00","2023-01-01 19:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1126036,1126036,0,335558,0.29800000786781
"2023-01-01 19:00:00","2023-01-01 20:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1082878,1082878,0,322697,0.29800000786781
"2023-01-01 20:00:00","2023-01-01 21:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1071631,1071631,0,319346,0.29800000786781
"2023-01-01 21:00:00","2023-01-01 22:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1002146,1002146,0,298639,0.29800000786781
"2023-01-01 22:00:00","2023-01-01 23:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,930362,930362,0,277247,0.29800000786781
"2023-01-01 23:00:00","2023-01-02 00:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,894382,894382,0,266525,0.29800000786781
"2023-01-02 00:00:00","2023-01-02 01:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,895684,895684,0,266913,0.29800000786781
"2023-01-02 01:00:00","2023-01-02 02:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,917293,917293,0,273353,0.29800000786781
"2023-01-02 02:00:00","2023-01-02 03:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,895271,895271,0,266790,0.29800000786781
"2023-01-02 03:00:00","2023-01-02 04:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,948971,948971,0,282793,0.29800000786781
"2023-01-02 04:00:00","2023-01-02 05:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1005353,1005353,0,299595,0.29800000786781
"2023-01-02 05:00:00","2023-01-02 06:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1148003,1148003,0,342104,0.29800000786781
"2023-01-02 06:00:00","2023-01-02 07:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1305568,1305568,0,389059,0.29800000786781
"2023-01-02 07:00:00","2023-01-02 08:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1413537,1413537,0,421234,0.29800000786781
"2023-01-02 08:00:00","2023-01-02 09:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1452649,1452649,0,432889,0.29800000786781
"2023-01-02 09:00:00","2023-01-02 10:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1421106,1421106,0,423489,0.29800000786781
"2023-01-02 10:00:00","2023-01-02 11:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1341892,1341892,0,399883,0.29800000786781
"2023-01-02 11:00:00","2023-01-02 12:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1336431,1336431,0,398256,0.29800000786781
"2023-01-02 12:00:00","2023-01-02 13:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1460437,1460437,0,435210,0.29800000786781
"2023-01-02 13:00:00","2023-01-02 14:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1436897,1436897,0,428195,0.29800000786781
"2023-01-02 14:00:00","2023-01-02 15:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1467360,1467360,0,437273,0.29800000786781
"2023-01-02 15:00:00","2023-01-02 16:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1538860,1538860,0,458580,0.29800000786781
"2023-01-02 16:00:00","2023-01-02 17:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1586274,1586274,0,472709,0.29800000786781
"2023-01-02 17:00:00","2023-01-02 18:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1575249,1575249,0,469424,0.29800000786781
"2023-01-02 18:00:00","2023-01-02 19:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1536313,1536313,0,457821,0.29800000786781
"2023-01-02 19:00:00","2023-01-02 20:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1447772,1447772,0,431436,0.29800000786781
"2023-01-02 20:00:00","2023-01-02 21:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1372611,1372611,0,409038,0.29800000786781
"2023-01-02 21:00:00","2023-01-02 22:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1284881,1284881,0,382894,0.29800000786781
"2023-01-02 22:00:00","2023-01-02 23:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1171512,1171512,0,349110,0.29800000786781
"2023-01-02 23:00:00","2023-01-03 00:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1096984,1096984,0,326901,0.29800000786781
"2023-01-03 00:00:00","2023-01-03 01:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1051181,1051181,0,313251,0.29800000786781
"2023-01-03 01:00:00","2023-01-03 02:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1136919,1136919,0,338801,0.29800000786781
"2023-01-03 02:00:00","2023-01-03 03:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1181108,1181108,0,351970,0.29800000786781
"2023-01-03 03:00:00","2023-01-03 04:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1239846,1239846,0,369474,0.29800000786781
"2023-01-03 04:00:00","2023-01-03 05:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1355809,1355809,0,404031,0.29800000786781
"2023-01-03 05:00:00","2023-01-03 06:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1540282,1540282,0,459004,0.29800000786781
"2023-01-03 06:00:00","2023-01-03 07:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1736428,1736428,0,517455,0.29800000786781
"2023-01-03 07:00:00","2023-01-03 08:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1866528,1866528,0,556225,0.29800000786781
"2023-01-03 08:00:00","2023-01-03 09:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1849260,1849260,0,551079,0.29800000786781
"2023-01-03 09:00:00","2023-01-03 10:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1750489,1750489,0,521645,0.29800000786781
"2023-01-03 10:00:00","2023-01-03 11:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1752577,1752577,0,522267,0.29800000786781
"2023-01-03 11:00:00","2023-01-03 12:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1711664,1711664,0,510075,0.29800000786781
"2023-01-03 12:00:00","2023-01-03 13:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1669449,1669449,0,497495,0.29800000786781
"2023-01-03 13:00:00","2023-01-03 14:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1600362,1600362,0,476907,0.29800000786781
