"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2019-12-31 23:00:00","2020-01-01 00:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,63750,63750,0.074015997350216,0,0
"2020-01-01 00:00:00","2020-01-01 01:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,116000,116000,0.13468000292778,0,0
"2020-01-01 01:00:00","2020-01-01 02:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,110500,110500,0.12829400599003,0,0
"2020-01-01 02:00:00","2020-01-01 03:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,135251,135251,0.15703000128269,0,0
"2020-01-01 03:00:00","2020-01-01 04:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,142999,142999,0.16602799296379,0,0
"2020-01-01 04:00:00","2020-01-01 05:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,134500,134500,0.15615899860859,0,0
"2020-01-01 05:00:00","2020-01-01 06:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,110000,110000,0.12771399319172,0,0
"2020-01-01 06:00:00","2020-01-01 07:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,105750,105750,0.1227800026536,0,0
"2020-01-01 07:00:00","2020-01-01 08:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,85499,85499,0.09926900267601,0,0
"2020-01-01 08:00:00","2020-01-01 09:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,147750,147750,0.1715430021286,0,0
"2020-01-01 09:00:00","2020-01-01 10:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,170250,170250,0.19766600430012,0,0
"2020-01-01 10:00:00","2020-01-01 11:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,186500,186500,0.21653300523758,0,0
"2020-01-01 11:00:00","2020-01-01 12:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,274249,274249,0.31841400265694,0,0
"2020-01-01 12:00:00","2020-01-01 13:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,264251,264251,0.30680400133133,0,0
"2020-01-01 13:00:00","2020-01-01 14:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,233500,233500,0.27110201120377,0,0
"2020-01-01 14:00:00","2020-01-01 15:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,197500,197500,0.22930499911308,0,0
"2020-01-01 15:00:00","2020-01-01 16:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,221250,221250,0.25687900185585,0,0
"2020-01-01 16:00:00","2020-01-01 17:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,286250,286250,0.33234599232674,0,0
"2020-01-01 17:00:00","2020-01-01 18:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,417750,417750,0.48502299189568,0,0
"2020-01-01 18:00:00","2020-01-01 19:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,420250,420250,0.48792499303818,0,0
"2020-01-01 19:00:00","2020-01-01 20:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,426500,426500,0.49518200755119,0,0
"2020-01-01 20:00:00","2020-01-01 21:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,457000,457000,0.53059297800064,0,0
"2020-01-01 21:00:00","2020-01-01 22:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,531500,531500,0.61708998680115,0,0
"2020-01-01 22:00:00","2020-01-01 23:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,467502,467502,0.5427839756012,0,0
