"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2017-12-31 23:00:00","2018-01-01 00:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,,
"2018-01-01 00:00:00","2018-01-01 01:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,,
"2018-01-01 01:00:00","2018-01-01 02:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,,
"2018-01-01 02:00:00","2018-01-01 03:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,,
"2018-01-01 03:00:00","2018-01-01 04:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,,
"2018-01-01 04:00:00","2018-01-01 05:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,,
"2018-01-01 05:00:00","2018-01-01 06:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,,
"2018-01-01 06:00:00","2018-01-01 07:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,,
"2018-01-01 07:00:00","2018-01-01 08:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,,
"2018-01-01 08:00:00","2018-01-01 09:00:00",Nederland,Solar,Hour,UTC,Providing,Current,45831,45831,0.019950000569224,,
"2018-01-01 09:00:00","2018-01-01 10:00:00",Nederland,Solar,Hour,UTC,Providing,Current,257727,257727,0.11218500137329,,
"2018-01-01 10:00:00","2018-01-01 11:00:00",Nederland,Solar,Hour,UTC,Providing,Current,440585,440585,0.1917719990015,,
"2018-01-01 11:00:00","2018-01-01 12:00:00",Nederland,Solar,Hour,UTC,Providing,Current,451915,451915,0.19669400155544,,
"2018-01-01 12:00:00","2018-01-01 13:00:00",Nederland,Solar,Hour,UTC,Providing,Current,372698,372698,0.16220700740814,,
"2018-01-01 13:00:00","2018-01-01 14:00:00",Nederland,Solar,Hour,UTC,Providing,Current,231092,231092,0.1005719974637,,
"2018-01-01 14:00:00","2018-01-01 15:00:00",Nederland,Solar,Hour,UTC,Providing,Current,92128,92128,0.040093000978231,,
"2018-01-01 15:00:00","2018-01-01 16:00:00",Nederland,Solar,Hour,UTC,Providing,Current,11004,11004,0.0047880001366138,,
"2018-01-01 16:00:00","2018-01-01 17:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,,
"2018-01-01 17:00:00","2018-01-01 18:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,,
"2018-01-01 18:00:00","2018-01-01 19:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,,
"2018-01-01 19:00:00","2018-01-01 20:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,,
"2018-01-01 20:00:00","2018-01-01 21:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,,
"2018-01-01 21:00:00","2018-01-01 22:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,,
"2018-01-01 22:00:00","2018-01-01 23:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,,
"2018-01-01 23:00:00","2018-01-02 00:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,,
"2018-01-02 00:00:00","2018-01-02 01:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,,
"2018-01-02 01:00:00","2018-01-02 02:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,,
"2018-01-02 02:00:00","2018-01-02 03:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,,
"2018-01-02 03:00:00","2018-01-02 04:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,,
"2018-01-02 04:00:00","2018-01-02 05:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,,
"2018-01-02 05:00:00","2018-01-02 06:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,,
"2018-01-02 06:00:00","2018-01-02 07:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,,
"2018-01-02 07:00:00","2018-01-02 08:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,,
"2018-01-02 08:00:00","2018-01-02 09:00:00",Nederland,Solar,Hour,UTC,Providing,Current,29523,29523,0.012835999950767,,
"2018-01-02 09:00:00","2018-01-02 10:00:00",Nederland,Solar,Hour,UTC,Providing,Current,179219,179219,0.077918998897076,,
"2018-01-02 10:00:00","2018-01-02 11:00:00",Nederland,Solar,Hour,UTC,Providing,Current,346025,346025,0.15043300390244,,
"2018-01-02 11:00:00","2018-01-02 12:00:00",Nederland,Solar,Hour,UTC,Providing,Current,402711,402711,0.17506900429726,,
"2018-01-02 12:00:00","2018-01-02 13:00:00",Nederland,Solar,Hour,UTC,Providing,Current,382322,382322,0.16619700193405,,
"2018-01-02 13:00:00","2018-01-02 14:00:00",Nederland,Solar,Hour,UTC,Providing,Current,218804,218804,0.09511099755764,,
"2018-01-02 14:00:00","2018-01-02 15:00:00",Nederland,Solar,Hour,UTC,Providing,Current,97817,97817,0.042516998946667,,
