Datetime,Station,Date,Hour,WindDirection,WindSpeedAvg60min,WindSpeedAvg10min,WindGust,Temperature,MinTemperature6hour,DewPoint,Sunshineperhour,GlobalRadiation,PrecipitationDuration,HourlyPrecipitationAmount,Pressure,HorizontalVisibility,CloudCover,RelativeAtmosphericHumidity,WeatherCode,IndicatorWeatherCode,Fog,Rain,Snow,Thunder,IceFormation
2021-01-01 00:00:00,260,20210101,1,230,10,10,20,-2.5,,-26,0,0,0,0,10059,1,0,98,   35,7,1,0,0,0,1
2021-01-01 01:00:00,260,20210101,2,230,10,10,20,-3.2,,-34,0,0,0,0,10061,0,1,98,   35,7,1,0,0,0,1
2021-01-01 02:00:00,260,20210101,3,230,20,20,30,-2.7,,-29,0,0,0,0,10064,4,7,98,   35,7,1,0,0,0,1
2021-01-01 03:00:00,260,20210101,4,220,20,20,30,-1.1,,-14,0,0,0,0,10064,15,8,98,   20,7,1,0,0,0,1
2021-01-01 04:00:00,260,20210101,5,230,20,20,40,1.1,,5,0,0,0,0,10064,18,8,95,   10,7,0,0,0,0,0
2021-01-01 05:00:00,260,20210101,6,230,30,30,40,1.9000000000000001,-3.0,9,0,0,0,0,10066,44,8,92,   10,7,0,0,0,0,0
2021-01-01 06:00:00,260,20210101,7,230,20,30,40,2.2,,8,0,0,0,0,10070,59,8,90,   10,7,0,0,0,0,0
2021-01-01 07:00:00,260,20210101,8,230,30,30,40,2.7,,11,0,0,0,0,10073,66,8,89,,5,0,0,0,0,0
2021-01-01 08:00:00,260,20210101,9,230,20,30,50,3.1,,17,0,6,0,0,10078,69,8,90,,5,0,0,0,0,0
2021-01-01 09:00:00,260,20210101,10,220,20,20,50,3.5,,20,0,19,0,0,10082,69,8,90,,5,0,0,0,0,0
2021-01-01 10:00:00,260,20210101,11,230,20,10,40,4.6000000000000005,,30,2,41,0,0,10083,70,8,89,,5,0,0,0,0,0
2021-01-01 11:00:00,260,20210101,12,210,20,10,30,5.0,0.5,31,7,67,0,0,10082,70,8,87,,5,0,0,0,0,0
2021-01-01 12:00:00,260,20210101,13,200,10,10,30,5.4,,36,0,31,0,0,10080,66,7,88,,5,0,0,0,0,0
2021-01-01 13:00:00,260,20210101,14,220,20,30,50,5.6000000000000005,,35,0,20,0,0,10081,70,8,86,,5,0,0,0,0,0
2021-01-01 14:00:00,260,20210101,15,230,30,30,60,5.4,,32,0,9,0,0,10084,70,8,85,,5,0,0,0,0,0
2021-01-01 15:00:00,260,20210101,16,230,20,20,50,5.1000000000000005,,36,0,1,0,0,10088,70,8,89,,5,0,0,0,0,0
2021-01-01 16:00:00,260,20210101,17,240,20,20,40,4.9,,34,0,0,0,0,10091,70,8,90,,5,0,0,0,0,0
2021-01-01 17:00:00,260,20210101,18,240,20,30,50,4.6000000000000005,4.1000000000000005,32,0,0,0,0,10094,70,8,90,,5,0,0,0,0,0
2021-01-01 18:00:00,260,20210101,19,230,20,20,50,4.5,,34,0,0,0,0,10099,65,8,92,,5,0,0,0,0,0
2021-01-01 19:00:00,260,20210101,20,220,20,20,30,4.6000000000000005,,35,0,0,0,0,10103,63,8,92,,5,0,0,0,0,0
2021-01-01 20:00:00,260,20210101,21,220,20,20,30,3.8000000000000003,,30,0,0,0,0,10106,59,7,94,   10,7,0,0,0,0,0
2021-01-01 21:00:00,260,20210101,22,210,20,20,30,4.1000000000000005,,33,0,0,0,0,10109,58,8,94,   10,7,0,0,0,0,0
2021-01-01 22:00:00,260,20210101,23,210,30,30,50,4.2,,34,0,0,0,0,10111,57,8,94,   10,7,0,0,0,0,0
2021-01-01 23:00:00,260,20210101,24,230,30,30,50,4.5,2.6,35,0,0,0,0,10113,60,8,93,,5,0,0,0,0,0
2021-01-02 00:00:00,260,20210102,1,220,30,20,50,4.1000000000000005,,33,0,0,0,0,10115,56,8,94,   10,7,0,0,0,0,0
2021-01-02 01:00:00,260,20210102,2,220,20,20,50,4.0,,33,0,0,0,0,10118,56,8,95,   10,7,0,0,0,0,0
2021-01-02 02:00:00,260,20210102,3,200,20,20,30,3.7,,27,0,0,0,0,10119,56,8,93,   10,7,0,0,0,0,0
2021-01-02 03:00:00,260,20210102,4,220,20,20,40,3.6,,28,0,0,0,0,10119,50,8,94,   10,7,0,0,0,0,0
2021-01-02 04:00:00,260,20210102,5,200,20,20,40,3.4000000000000004,,27,0,0,0,0,10120,48,8,95,   10,7,0,0,0,0,0
2021-01-02 05:00:00,260,20210102,6,220,20,20,30,3.3000000000000003,2.9000000000000004,26,0,0,0,0,10123,46,8,95,   10,7,0,0,0,0,0
2021-01-02 06:00:00,260,20210102,7,210,20,20,30,3.2,,30,0,0,0,0,10125,21,8,98,   10,7,0,0,0,0,0
