"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2021-12-31 23:00:00","2022-01-01 00:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1127491,1127491,0,335992,0.29800000786781
"2022-01-01 00:00:00","2022-01-01 01:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1184195,1184195,0,352890,0.29800000786781
"2022-01-01 01:00:00","2022-01-01 02:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1181864,1181864,0,352195,0.29800000786781
"2022-01-01 02:00:00","2022-01-01 03:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1129166,1129166,0,336491,0.29800000786781
"2022-01-01 03:00:00","2022-01-01 04:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1140291,1140291,0,339806,0.29800000786781
"2022-01-01 04:00:00","2022-01-01 05:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1182024,1182024,0,352243,0.29800000786781
"2022-01-01 05:00:00","2022-01-01 06:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1202790,1202790,0,358431,0.29800000786781
"2022-01-01 06:00:00","2022-01-01 07:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1312846,1312846,0,391228,0.29800000786781
"2022-01-01 07:00:00","2022-01-01 08:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1402745,1402745,0,418018,0.29800000786781
"2022-01-01 08:00:00","2022-01-01 09:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1458762,1458762,0,434711,0.29800000786781
"2022-01-01 09:00:00","2022-01-01 10:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1447338,1447338,0,431306,0.29800000786781
"2022-01-01 10:00:00","2022-01-01 11:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1442992,1442992,0,430011,0.29800000786781
"2022-01-01 11:00:00","2022-01-01 12:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1459002,1459002,0,434782,0.29800000786781
"2022-01-01 12:00:00","2022-01-01 13:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1407389,1407389,0,419401,0.29800000786781
"2022-01-01 13:00:00","2022-01-01 14:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1366579,1366579,0,407240,0.29800000786781
"2022-01-01 14:00:00","2022-01-01 15:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1380314,1380314,0,411333,0.29800000786781
"2022-01-01 15:00:00","2022-01-01 16:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1434637,1434637,0,427521,0.29800000786781
"2022-01-01 16:00:00","2022-01-01 17:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1448514,1448514,0,431657,0.29800000786781
"2022-01-01 17:00:00","2022-01-01 18:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1409951,1409951,0,420165,0.29800000786781
"2022-01-01 18:00:00","2022-01-01 19:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1373943,1373943,0,409435,0.29800000786781
"2022-01-01 19:00:00","2022-01-01 20:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1309458,1309458,0,390218,0.29800000786781
"2022-01-01 20:00:00","2022-01-01 21:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1234665,1234665,0,367930,0.29800000786781
"2022-01-01 21:00:00","2022-01-01 22:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1191912,1191912,0,355189,0.29800000786781
"2022-01-01 22:00:00","2022-01-01 23:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1119488,1119488,0,333607,0.29800000786781
"2022-01-01 23:00:00","2022-01-02 00:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1072427,1072427,0,319583,0.29800000786781
"2022-01-02 00:00:00","2022-01-02 01:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1093653,1093653,0,325908,0.29800000786781
"2022-01-02 01:00:00","2022-01-02 02:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1086454,1086454,0,323763,0.29800000786781
"2022-01-02 02:00:00","2022-01-02 03:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1090434,1090434,0,324949,0.29800000786781
"2022-01-02 03:00:00","2022-01-02 04:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1107214,1107214,0,329949,0.29800000786781
"2022-01-02 04:00:00","2022-01-02 05:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1163557,1163557,0,346739,0.29800000786781
"2022-01-02 05:00:00","2022-01-02 06:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1223166,1223166,0,364503,0.29800000786781
"2022-01-02 06:00:00","2022-01-02 07:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1337287,1337287,0,398511,0.29800000786781
"2022-01-02 07:00:00","2022-01-02 08:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1434836,1434836,0,427581,0.29800000786781
"2022-01-02 08:00:00","2022-01-02 09:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1533232,1533232,0,456903,0.29800000786781
"2022-01-02 09:00:00","2022-01-02 10:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1581835,1581835,0,471386,0.29800000786781
"2022-01-02 10:00:00","2022-01-02 11:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1546791,1546791,0,460943,0.29800000786781
"2022-01-02 11:00:00","2022-01-02 12:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1536488,1536488,0,457873,0.29800000786781
"2022-01-02 12:00:00","2022-01-02 13:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1498507,1498507,0,446555,0.29800000786781
