"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2016-12-31 23:00:00","2017-01-01 00:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,,
"2017-01-01 00:00:00","2017-01-01 01:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,,
"2017-01-01 01:00:00","2017-01-01 02:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,,
"2017-01-01 02:00:00","2017-01-01 03:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,,
"2017-01-01 03:00:00","2017-01-01 04:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,,
"2017-01-01 04:00:00","2017-01-01 05:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,,
"2017-01-01 05:00:00","2017-01-01 06:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,,
"2017-01-01 06:00:00","2017-01-01 07:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,,
"2017-01-01 07:00:00","2017-01-01 08:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,,
"2017-01-01 08:00:00","2017-01-01 09:00:00",Nederland,Solar,Hour,UTC,Providing,Current,13851,13851,0.0081280004233122,,
"2017-01-01 09:00:00","2017-01-01 10:00:00",Nederland,Solar,Hour,UTC,Providing,Current,69737,69737,0.040925998240709,,
"2017-01-01 10:00:00","2017-01-01 11:00:00",Nederland,Solar,Hour,UTC,Providing,Current,123653,123653,0.072563998401165,,
"2017-01-01 11:00:00","2017-01-01 12:00:00",Nederland,Solar,Hour,UTC,Providing,Current,152417,152417,0.089440003037453,,
"2017-01-01 12:00:00","2017-01-01 13:00:00",Nederland,Solar,Hour,UTC,Providing,Current,137594,137594,0.080738998949528,,
"2017-01-01 13:00:00","2017-01-01 14:00:00",Nederland,Solar,Hour,UTC,Providing,Current,84938,84938,0.049839001148939,,
